Timestamp,З ким ви найчастіше купуєте продукти або ділите побут?,Як ви зазвичай розподіляєте обов'язки щодо купівлі продуктів у вашій групі?,"З якими труднощами ви стикаєтесь під час спільних покупок? (Оберіть всі відповіді, що підходять)","Як ви оцінюєте ідею AI-агента, який автоматично формує спільний кошик, враховуючи вподобання кожного члена групи?",Які функції були б найбільш корисними для вас у такому додатку? [Автоматичне створення списку покупок за рецептами],Які функції були б найбільш корисними для вас у такому додатку? [Урахування дієт та алергій кожного учасника],Які функції були б найбільш корисними для вас у такому додатку? [Встановлення бюджетних лімітів для групи],Які функції були б найбільш корисними для вас у такому додатку? [Розподіл покупок між учасниками (хто що купує)],Які функції були б найбільш корисними для вас у такому додатку? [Спільне редагування кошика в реальному часі],Наскільки комфортно вам було б довірити планування бюджету та вибір продуктів AI-агенту?,"Чи є у вас інші ідеї або зауваження, які б зробили Silpo Family кращим?"
08/09/2026 15:22:10,Живу з партнером/партнеркою,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти), Забуваємо інгредієнти",2,Було б зручно,Було б зручно,Не потрібно,Не потрібно,Було б зручно,1,
08/09/2026 15:22:54,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти), Узгодження бюджету",5,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,5,
08/09/2026 15:23:01,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,3,Дуже важливо,Дуже важливо,Було б зручно,Було б зручно,Було б зручно,3,
08/09/2026 15:23:49,Живу з друзями або співмешканцями,Кожен купує собі окремо,Узгодження бюджету,5,Було б зручно,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,4,
08/09/2026 15:25:20,Живу з родиною,Хтось один бере на себе всі закупки,"Узгодження бюджету, Планування спільних страв/рецептів",5,Дуже важливо,Було б зручно,Дуже важливо,Не потрібно,Не потрібно,4,
08/09/2026 15:25:21,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,5,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,Було б зручно,4,Врахування КБЖВ продуктів
08/09/2026 15:25:57,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один","Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів, Забуваємо інгредієнти",5,Було б зручно,Було б зручно,Було б зручно,Не потрібно,Дуже важливо,5,
08/09/2026 15:26:05,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Узгодження бюджету, Складно розподілити, хто що купує",4,Було б зручно,Було б зручно,Дуже важливо,Дуже важливо,Дуже важливо,5,
08/09/2026 15:26:07,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Забуваємо інгредієнти, Складно розподілити, хто що купує, Не маю таких труднощів",5,Було б зручно,Дуже важливо,Дуже важливо,"Було б зручно, Не потрібно",Було б зручно,4,
08/09/2026 15:26:20,Живу один/одна,Кожен купує собі окремо,Не маю таких труднощів,1,,,,,,1,
08/09/2026 15:26:27,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один","Узгодження бюджету, Забуваємо інгредієнти",2,Було б зручно,Дуже важливо,Було б зручно,Дуже важливо,Дуже важливо,3,
08/09/2026 15:26:39,Інше,Кожен купує собі окремо,Не маю таких труднощів,4,Було б зручно,Було б зручно,Дуже важливо,Було б зручно,Дуже важливо,4,
08/09/2026 15:26:57,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один",Узгодження бюджету,4,Дуже важливо,Було б зручно,Дуже важливо,Не потрібно,Було б зручно,4,
08/09/2026 15:28:04,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти), Узгодження бюджету",5,Не потрібно,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,5,
08/09/2026 15:28:17,Живу з родиною,Хтось один бере на себе всі закупки,"Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів",4,Було б зручно,Дуже важливо,"Було б зручно, Не потрібно",Було б зручно,Було б зручно,5,
08/09/2026 15:28:29,Живу з родиною,"Хаотично, часто виникають конфлікти або забуваємо щось купити","Планування спільних страв/рецептів, Забуваємо інгредієнти",4,Було б зручно,Було б зручно,Дуже важливо,"Дуже важливо, Було б зручно",Дуже важливо,3,
08/09/2026 15:28:44,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один","Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів",5,Було б зручно,Дуже важливо,Дуже важливо,Не потрібно,Дуже важливо,4,
08/09/2026 15:28:50,Живу з друзями або співмешканцями,"Хаотично, часто виникають конфлікти або забуваємо щось купити","Узгодження бюджету, Забуваємо інгредієнти",5,Було б зручно,Дуже важливо,Дуже важливо,"Дуже важливо, Було б зручно",Дуже важливо,5,
08/09/2026 15:29:04,Живу з родиною,"Складаємо список разом, але купує хтось один","Планування спільних страв/рецептів, Забуваємо інгредієнти",5,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,Дуже важливо,5,
08/09/2026 15:29:06,Живу з родиною,Хтось один бере на себе всі закупки,Забуваємо інгредієнти,5,Дуже важливо,Дуже важливо,Дуже важливо,Було б зручно,Було б зручно,5,
08/09/2026 15:30:31,Живу з родиною,"Хаотично, часто виникають конфлікти або забуваємо щось купити",Не маю таких труднощів,3,Не потрібно,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,3,
08/09/2026 15:31:27,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти)",4,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,3,
08/09/2026 15:32:12,Живу з родиною,Хтось один бере на себе всі закупки,"Узгодження бюджету, Планування спільних страв/рецептів, Забуваємо інгредієнти",4,Дуже важливо,Дуже важливо,Було б зручно,Дуже важливо,Дуже важливо,5,
08/09/2026 15:32:13,Живу один/одна,Кожен купує собі окремо,Не маю таких труднощів,2,Було б зручно,Дуже важливо,Було б зручно,Було б зручно,Дуже важливо,2,
08/09/2026 15:32:14,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,1,Не потрібно,Не потрібно,Не потрібно,Не потрібно,Не потрібно,1,
08/09/2026 15:32:18,Живу з родиною,Хтось один бере на себе всі закупки,"Планування спільних страв/рецептів, Забуваємо інгредієнти",5,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,Було б зручно,5,
08/09/2026 15:32:20,Живу з родиною,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів, Забуваємо інгредієнти",5,Було б зручно,Дуже важливо,Дуже важливо,"Дуже важливо, Було б зручно",Дуже важливо,5,
08/09/2026 15:32:21,Живу один/одна,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти), Узгодження бюджету, Планування спільних страв/рецептів",4,Було б зручно,Дуже важливо,Було б зручно,Було б зручно,Було б зручно,3,
08/09/2026 15:32:31,Живу один/одна,Хтось один бере на себе всі закупки,Не маю таких труднощів,3,Було б зручно,Дуже важливо,Дуже важливо,Не потрібно,Було б зручно,4,
08/09/2026 15:32:49,Живу з родиною,Хтось один бере на себе всі закупки,Не маю таких труднощів,3,Було б зручно,Не потрібно,Було б зручно,Не потрібно,Не потрібно,3,
08/09/2026 15:33:00,Живу один/одна,Хтось один бере на себе всі закупки,"Врахування харчових обмежень кожного (алергії, дієти), Забуваємо інгредієнти",3,Було б зручно,Дуже важливо,Дуже важливо,Не потрібно,Було б зручно,3,
08/09/2026 15:33:44,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Планування спільних страв/рецептів, Забуваємо інгредієнти",3,Було б зручно,Було б зручно,Було б зручно,Не потрібно,Дуже важливо,3,
08/09/2026 15:34:08,Живу з друзями або співмешканцями,"Хаотично, часто виникають конфлікти або забуваємо щось купити",Не маю таких труднощів,5,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,"Дуже важливо, Було б зручно",4,
08/09/2026 15:35:22,Живу з партнером/партнеркою,"Хаотично, часто виникають конфлікти або забуваємо щось купити",Не маю таких труднощів,1,Було б зручно,Дуже важливо,Не потрібно,Не потрібно,Було б зручно,1,
